BATTERY - SIMPLE ASSAULT,155834,Assault,
BURGLARY FROM VEHICLE,131123,Theft,
VEHICLE - STOLEN,130938,Theft,
BURGLARY,122861,Theft,
THEFT PLAIN - PETTY ($950 & UNDER),121469,Theft,
THEFT OF IDENTITY,107052,Fraud,
INTIMATE PARTNER - SIMPLE ASSAULT,92207,Assault,
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",86118,Destruction of Property,
VANDALISM - MISDEAMEANOR ($399 OR UNDER),76029,Destruction of Property,
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",72942,Assault,
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),69663,Theft,
ROBBERY,68257,Theft,
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",60209,Theft,
CRIMINAL THREATS - NO WEAPON DISPLAYED,47425,Legal,
SHOPLIFTING - PETTY THEFT ($950 & UNDER),38020,Theft,
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),24554,Theft,
DOCUMENT FORGERY / STOLEN FELONY,19895,Fraud,
OTHER MISCELLANEOUS CRIME,17381,Miscellaneus,
VIOLATION OF COURT ORDER,16966,Legal,
"LETTERS, LEWD",16376,Sexual,
TRESPASSING,15825,Disruption,
VIOLATION OF RESTRAINING ORDER,14752,Legal,
"THEFT, PERSON",11376,Theft,
"BURGLARY, ATTEMPTED",10576,Theft,
BRANDISH WEAPON,10162,Assault,
INTIMATE PARTNER - AGGRAVATED ASSAULT,10065,Assault,
BIKE - STOLEN,9849,Theft,
ATTEMPTED ROBBERY,9700,Theft,
BATTERY WITH SEXUAL CONTACT,8796,Sexual,
"RAPE, FORCIBLE",8029,Sexual,
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,7308,Crimes against children,
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,6849,Crimes against children,
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",6302,Fraud,
"BUNCO, GRAND THEFT",5851,Fraud,
CHILD NEGLECT (SEE 300 W.I.C.),4720,Crimes against children,
CHILD ANNOYING (17YRS & UNDER),4400,Crimes against children,
BATTERY POLICE (SIMPLE),3729,Assault,
"BUNCO, PETTY THEFT",3573,Fraud,
"SEX, UNLAWFUL",3393,Sexual,
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),3026,Theft,
DISCHARGE FIREARMS/SHOTS FIRED,3022,Assault,
DISTURBING THE PEACE,2975,Disruption,
ARSON,2827,Destruction of Property,
CONTEMPT OF COURT,2817,Legal,
INDECENT EXPOSURE,2790,Sexual,
RESISTING ARREST,2755,Assault,
VEHICLE - ATTEMPT STOLEN,2738,Theft,
THREATENING PHONE CALLS/LETTERS,2718,Legal,
"BURGLARY FROM VEHICLE, ATTEMPTED",2453,Theft,
CRIMINAL HOMICIDE,2309,Assault,
OTHER ASSAULT,2262,Assault,
SHOTS FIRED AT INHABITED DWELLING,2127,Assault,
EXTORTION,1863,Fraud,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1803,Theft,
KIDNAPPING,1748,Crimes against children,
STALKING,1573,Sexual,
SEXUAL PENTRATION WITH A FOREIGN OBJECT,1512,Sexual,*****
THEFT PLAIN - ATTEMPT,1401,Theft,
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1375,Crimes against children,
ORAL COPULATION,1370,Sexual,
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1351,Assault,
THROWING OBJECT AT MOVING VEHICLE,1267,Disruption,
CRUELTY TO ANIMALS,1175,Assault,
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,1117,Sexual,
VIOLATION OF TEMPORARY RESTRAINING ORDER,1109,Legal,
UNAUTHORIZED COMPUTER ACCESS,1099,Fraud,
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1063,Sexual,
LEWD CONDUCT,1046,Sexual,
PURSE SNATCHING,1026,Theft,
THEFT FROM MOTOR VEHICLE - ATTEMPT,999,Theft,
PEEPING TOM,965,Sexual,
CHILD STEALING,963,Theft,
"RAPE, ATTEMPTED",931,Sexual,
BOMB SCARE,922,Legal,
PROWLER,780,Disruption,
FALSE IMPRISONMENT,772,Legal,
COUNTERFEIT,729,Fraud,
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",689,Fraud,
PICKPOCKET,661,Theft,
KIDNAPPING - GRAND ATTEMPT,622,Theft,
"BUNCO, ATTEMPT",513,Fraud,
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",489,Theft,
PIMPING,421,Sexual,
ILLEGAL DUMPING,415,Destruction of Property,
DRIVING WITHOUT OWNER CONSENT (DWOC),401,Disruption,
FALSE POLICE REPORT,333,Legal,
FAILURE TO YIELD,299,Disruption,
DOCUMENT WORTHLESS ($200.01 & OVER),288,Fraud,
SEXUAL PENETRATION W/FOREIGN OBJECT,287,Sexual,*****
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",260,Sexual,
BATTERY ON A FIREFIGHTER,249,Assault,
BOAT - STOLEN,240,Theft,
THEFT FROM PERSON - ATTEMPT,238,Theft,
PANDERING,227,Sexual,
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",211,Assault,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",205,Fraud,
RECKLESS DRIVING,201,Disruption,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",196,Theft,
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",191,Theft,
SHOPLIFTING - ATTEMPT,172,Theft,
CONTRIBUTING,160,Legal,
WEAPONS POSSESSION/BOMBING,143,Destruction of Property,
DISHONEST EMPLOYEE - GRAND THEFT,141,Theft,
DISHONEST EMPLOYEE - PETTY THEFT,108,Theft,
CHILD ABANDONMENT,79,Crimes against children,
TILL TAP - PETTY ($950 & UNDER),78,Theft,
GRAND THEFT / INSURANCE FRAUD,63,Fraud,
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,55,Human Trafficking,*****
CONSPIRACY,47,Legal,
DOCUMENT WORTHLESS ($200 & UNDER),44,Fraud,
LYNCHING,41,Assault,
LEWD/LASCIVIOUS ACTS WITH CHILD,41,Crimes against children,
PURSE SNATCHING - ATTEMPT,41,Theft,
"DRUGS, TO A MINOR",38,Crimes against children,
DISRUPT SCHOOL,37,Disruption,
CHILD PORNOGRAPHY,37,Crimes against children,
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",36,Theft,
TELEPHONE PROPERTY - DAMAGE,36,Destruction of Property,
BIKE - ATTEMPTED STOLEN,31,Theft,
BRIBERY,30,Legal,
DRUNK ROLL,27,Theft,
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",21,Sexual,
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",21,Fraud,
LYNCHING - ATTEMPTED,20,Assault,
PETTY THEFT - AUTO REPAIR,19,Theft,
"THEFT, COIN MACHINE - ATTEMPT",19,Theft,
"PICKPOCKET, ATTEMPT",18,Theft,
FAILURE TO DISPERSE,18,Disruption,
TILL TAP - GRAND THEFT ($950.01 & OVER),14,Theft,
GRAND THEFT / AUTO REPAIR,12,Theft,
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,11,Human Trafficking,*****
INCITING A RIOT,11,Disruption,
BIGAMY,10,Sexual,
DISHONEST EMPLOYEE ATTEMPTED THEFT,8,Theft,
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),8,Sexual,
ABORTION/ILLEGAL,5,Crimes against children,
"MANSLAUGHTER, NEGLIGENT",4,Assault,
TILL TAP - ATTEMPT,3,Theft,
BLOCKING DOOR INDUCTION CENTER,3,Disruption,
TRAIN WRECKING,2,Assault,
FIREARMS RESTRAINING ORDER (FIREARMS RO),1,Legal,
DRUNK ROLL - ATTEMPT,1,Theft,