OFNS_DESC,Count,Type
PETIT LARCENY,578544,Theft
HARRASSMENT 2,416238,Assault
ASSAULT 3 & RELATED OFFENSES,369983,Assault
CRIMINAL MISCHIEF & RELATED OF,336993,Assault
GRAND LARCENY,298065,Theft
DANGEROUS DRUGS,216630,Miscellaneous
OFF. AGNST PUB ORD SENSBLTY &,176315,Miscellaneous
FELONY ASSAULT,137054,Assault
ROBBERY,127712,Theft
BURGLARY,119322,Theft
MISCELLANEOUS PENAL LAW,89030,Miscellaneous
DANGEROUS WEAPONS,83326,Assault
OFFENSES AGAINST PUBLIC ADMINI,72228,Legal
GRAND LARCENY OF MOTOR VEHICLE,56342,Theft
INTOXICATED & IMPAIRED DRIVING,47451,Miscellaneous
VEHICLE AND TRAFFIC LAWS,42792,Legal
SEX CRIMES,39393,Sexual
CRIMINAL TRESPASS,38740,Disruption
THEFT-FRAUD,37105,Fraud
FORGERY,32957,Fraud
FRAUDS,24017,Fraud
POSSESSION OF STOLEN PROPERTY,19380,Theft
OFFENSES INVOLVING FRAUD,11404,Fraud
UNAUTHORIZED USE OF A VEHICLE,10664,Theft
RAPE,9848,Sexual
OFFENSES AGAINST THE PERSON,8864,Disruption
OTHER OFFENSES RELATED TO THEF,8676,Theft
ARSON,8187,Disruption
ADMINISTRATIVE CODE,7726,Legal
OTHER STATE LAWS (NON PENAL LA,3186,Miscellaneous
THEFT OF SERVICES,3181,Theft
NYS LAWS-UNCLASSIFIED FELONY,2878,Miscellaneous
MURDER & NON-NEGL. MANSLAUGHTER,2823,Assault
BURGLAR'S TOOLS,1997,Theft
FRAUDULENT ACCOSTING,1721,Fraud
GAMBLING,1460,Miscellaneous
KIDNAPPING & RELATED OFFENSES,1266,Crimes against children
OFFENSES RELATED TO CHILDREN,1057,Crimes against children
PROSTITUTION & RELATED OFFENSES,667,Sexual
DISORDERLY CONDUCT,641,Disruption
OFFENSES AGAINST PUBLIC SAFETY,635,Disruption
ALCOHOLIC BEVERAGE CONTROL LAW,564,Miscellaneous
PETIT LARCENY OF MOTOR VEHICLE,461,Theft
JOSTLING,255,Assault
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,222,Miscellaneous
CHILD ABANDONMENT/NON SUPPORT,215,Crimes against children
OTHER STATE LAWS,142,Miscellaneous
ENDAN WELFARE INCOMP,129,Miscellaneous
"LOITERING/GAMBLING (CARDS, DIC",81,Disruption
ESCAPE 3,78,Miscellaneous
HOMICIDE-NEGLIGENT-VEHICLE,53,Assault
NEW YORK CITY HEALTH CODE,48,Miscellaneous
ANTICIPATORY OFFENSES,44,Fraud
INTOXICATED/IMPAIRED DRIVING,41,Disruption
UNLAWFUL POSS. WEAP. ON SCHOOL,38,Crimes against children
DISRUPTION OF A RELIGIOUS SERV,31,Disruption
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",26,Assault
NYS LAWS-UNCLASSIFIED VIOLATION,20,Miscellaneous
ADMINISTRATIVE CODES,11,Legal
KIDNAPPING,9,Crimes against children
LOITERING,9,Disruption
OTHER TRAFFIC INFRACTION,9,Disruption
OTHER STATE LAWS (NON PENAL LAW),8,Miscellaneous
FORTUNE TELLING,7,Miscellaneous
LOITERING FOR DRUG PURPOSES,3,Disruption
UNDER THE INFLUENCE OF DRUGS,2,Miscellaneous
KIDNAPPING AND RELATED OFFENSES,2,Crimes against children
OFFENSES AGAINST MARRIAGE UNCL,1,Miscellaneous